"country","Year","Energy_Per_Capita_kWh"
"India",2024,7812.9277
"India",2023,7529.4404
"India",2022,7057.1865
"India",2020,6268.4365
"India",2015,5943.0303
"India",2010,5024.5137
"India",2005,3991.0898
"India",2000,3521.4302
"India",1995,3085.6135
"India",1990,2659.8555
"India",1985,2050.433
"India",1980,1772.884
"India",1975,1590.0476
"India",1970,1399.1405
"India",1965,1263.8252
"China",2024,34514.457
"China",2023,33089.07
"China",2022,31235.707
"China",2020,29095.936
"China",2015,25166.627
"China",2010,21497.809
"China",2005,16050.9375
"China",2000,9294.628
"China",1995,8484.854
"China",1990,6881.387
"China",1985,5803.289
"China",1980,4910.204
"China",1975,4017.4368
"China",1970,2868.5447
"China",1965,2123.5288
"Indonesia",2024,10528.601
"Indonesia",2023,9904.8125
"Indonesia",2022,9859.904
"Indonesia",2020,7700.8584
"Indonesia",2015,7243.9517
"Indonesia",2010,7062.3306
"Indonesia",2005,6137.1416
"Indonesia",2000,5387.869
"Indonesia",1995,4353.857
"Indonesia",1990,3270.7102
"Indonesia",1985,2476.2805
"Indonesia",1980,2051.7617
"Indonesia",1975,1212.9828
"Indonesia",1970,924.7636
"Indonesia",1965,833.7781
"Pakistan",2024,3535.5425
"Pakistan",2023,3653.4338
"Pakistan",2022,4017.639
"Pakistan",2020,4083.671
"Pakistan",2015,3816.5994
"Pakistan",2010,3761.6614
"Pakistan",2005,3655.326
"Pakistan",2000,3123.4314
"Pakistan",1995,3051.5132
"Pakistan",1990,2630.0754
"Pakistan",1985,2220.9646
"Pakistan",1980,1880.5052
"Pakistan",1975,1566.0468
"Pakistan",1970,1711.1044
"Pakistan",1965,1574.9092
"Bangladesh",2024,3048.3135
"Bangladesh",2023,2954.8494
"Bangladesh",2022,3023.7288
"Bangladesh",2020,2750.7673
"Bangladesh",2015,2416.2007
"Bangladesh",2010,1649.6134
"Bangladesh",2005,1314.6259
"Bangladesh",2000,1012.7131
"Bangladesh",1995,873.6403
"Bangladesh",1990,661.5958
"Bangladesh",1985,481.51883
"Bangladesh",1980,394.81696
"Bangladesh",1975,273.98737
"Bangladesh",1970,0
"Bangladesh",1965,0
"Japan",2024,38745.04
"Japan",2023,39064.832
"Japan",2022,39974.945
"Japan",2020,38203.22
"Japan",2015,42138.867
"Japan",2010,46675.945
"Japan",2005,49673.758
"Japan",2000,49227.996
"Japan",1995,47042.098
"Japan",1990,42012.113
"Japan",1985,37085.23
"Japan",1980,36318.035
"Japan",1975,36445.727
"Japan",1970,32037.387
"Japan",1965,18152.096
"Philippines",2024,5633.132
"Philippines",2023,5298.6777
"Philippines",2022,5010.1567
"Philippines",2020,4583.8
"Philippines",2015,4220.2964
"Philippines",2010,3539.9746
"Philippines",2005,3628.2205
"Philippines",2000,3864.5144
"Philippines",1995,3663.7114
"Philippines",1990,2982.894
"Philippines",1985,2453.5876
"Philippines",1980,3087.6423
"Philippines",1975,2943.6262
"Philippines",1970,2563.2295
"Philippines",1965,1915.7188
"Vietnam",2024,14618.14
"Vietnam",2023,13711.071
"Vietnam",2022,12976.387
"Vietnam",2020,12527.92
"Vietnam",2015,8731.432
"Vietnam",2010,6177.169
"Vietnam",2005,4560.3525
"Vietnam",2000,2775.6035
"Vietnam",1995,1764.7858
"Vietnam",1990,1177.4452
"Vietnam",1985,1043.8547
"Vietnam",1980,1031.6199
"Vietnam",1975,1470.4475
"Vietnam",1970,2185.4846
"Vietnam",1965,793.3001
"Iran",2024,39203.61
"Iran",2023,39688.28
"Iran",2022,38985.188
"Iran",2020,39001.836
"Iran",2015,33441.344
"Iran",2010,31753.627
"Iran",2005,27012.97
"Iran",2000,21026.74
"Iran",1995,17007.227
"Iran",1990,13896.569
"Iran",1985,12987.326
"Iran",1980,10191.557
"Iran",1975,9633.732
"Iran",1970,5697.0537
"Iran",1965,3885.8682
"Turkey",2024,23927.826
"Turkey",2023,22476.043
"Turkey",2022,22617.557
"Turkey",2020,21161.5
"Turkey",2015,19859.234
"Turkey",2010,17085.506
"Turkey",2005,14367.83
"Turkey",2000,13198.735
"Turkey",1995,11636.42
"Turkey",1990,10020.523
"Turkey",1985,7617.1733
"Turkey",1980,6573.5635
"Turkey",1975,5692.283
"Turkey",1970,4003.5212
"Turkey",1965,2826.7966
"Thailand",2024,19825.014
"Thailand",2023,19360.342
"Thailand",2022,19347.238
"Thailand",2020,19257.477
"Thailand",2015,19526.947
"Thailand",2010,17198.229
"Thailand",2005,15467.393
"Thailand",2000,11771.415
"Thailand",1995,10407.508
"Thailand",1990,6465.264
"Thailand",1985,3785.3376
"Thailand",1980,3184.2568
"Thailand",1975,2689.7239
"Thailand",1970,1871.079
"Thailand",1965,985.7843
"Myanmar",2023,2457.1128
"Myanmar",2022,2488.8708
"Myanmar",2020,2892.3472
"Myanmar",2015,1894.9663
"Myanmar",2010,1228.7148
"Myanmar",2005,1532.5985
"Myanmar",2000,978.6195
"Myanmar",1995,733.3411
"Myanmar",1990,570.20447
"Myanmar",1985,648.15607
"Myanmar",1980,560.98596
"South Korea",2024,69922.41
"South Korea",2023,68753.33
"South Korea",2022,69899.45
"South Korea",2020,65364.605
"South Korea",2015,65128.56
"South Korea",2010,62667
"South Korea",2005,55225.63
"South Korea",2000,48342.094
"South Korea",1995,39243.332
"South Korea",1990,24471.578
"South Korea",1985,15168.538
"South Korea",1980,11904.004
"South Korea",1975,7403.251
"South Korea",1970,5146.111
"South Korea",1965,2554.8489
"Iraq",2024,16002.357
"Iraq",2023,15925.554
"Iraq",2022,15429.901
"Iraq",2020,14121.946
"Iraq",2015,12548.263
"Iraq",2010,12635.254
"Iraq",2005,10851.643
"Iraq",2000,13208.813
"Iraq",1995,17127.242
"Iraq",1990,13520.282
"Iraq",1985,9133.321
"Iraq",1980,7455.9487
"Iraq",1975,4577.3403
"Iraq",1970,4022.0679
"Iraq",1965,2804.7407
"Afghanistan",2023,990.46967
"Afghanistan",2022,1111.5725
"Afghanistan",2020,1200.7416
"Afghanistan",2015,914.92474
"Afghanistan",2010,1139.9874
"Afghanistan",2005,205.46812
"Afghanistan",2000,262.68048
"Afghanistan",1995,386.4902
"Afghanistan",1990,2506.8667
"Afghanistan",1985,842.73096
"Afghanistan",1980,481.20862
"Yemen",2023,875.5177
"Yemen",2022,893.9548
"Yemen",2020,918.66547
"Yemen",2015,1674.8418
"Yemen",2010,3727.731
"Yemen",2005,3654.4463
"Yemen",2000,3064.4592
"Yemen",1995,2638.6394
"Yemen",1990,3388.566
"Yemen",1985,3736.276
"Yemen",1980,2932.5127
"Uzbekistan",2024,19129.268
"Uzbekistan",2023,16840.781
"Uzbekistan",2022,16958.777
"Uzbekistan",2020,16072.522
"Uzbekistan",2015,17566.38
"Uzbekistan",2010,18518.672
"Uzbekistan",2005,21309.803
"Uzbekistan",2000,23996.973
"Uzbekistan",1995,22120.496
"Uzbekistan",1990,25393.666
"Uzbekistan",1985,26072.84
"Malaysia",2024,38865.867
"Malaysia",2023,37724.605
"Malaysia",2022,39068.727
"Malaysia",2020,35317.523
"Malaysia",2015,35686.035
"Malaysia",2010,32635.191
"Malaysia",2005,32374.299
"Malaysia",2000,26659.512
"Malaysia",1995,19617.18
"Malaysia",1990,13544.84
"Malaysia",1985,11300.094
"Malaysia",1980,9778.878
"Malaysia",1975,5288.9277
"Malaysia",1970,4348.5503
"Malaysia",1965,3653.367
"Saudi Arabia",2024,96883.31
"Saudi Arabia",2023,96221.54
"Saudi Arabia",2022,97902.695
"Saudi Arabia",2020,93195.88
"Saudi Arabia",2015,101972.69
"Saudi Arabia",2010,97431.875
"Saudi Arabia",2005,88089.3
"Saudi Arabia",2000,82513.39
"Saudi Arabia",1995,85031.6
"Saudi Arabia",1990,87244.01
"Saudi Arabia",1985,89518.31
"Saudi Arabia",1980,69430.64
"Saudi Arabia",1975,55584.895
"Saudi Arabia",1970,73784.51
"Saudi Arabia",1965,80285.836
"Nepal",2023,1935.3121
"Nepal",2022,1873.6637
"Nepal",2020,1574.5149
"Nepal",2015,757.9389
"Nepal",2010,646.76184
"Nepal",2005,495.1146
"Nepal",2000,468.38828
"Nepal",1995,275.8802
"Nepal",1990,191.96428
"Nepal",1985,134.07072
"Nepal",1980,118.00948
"North Korea",2023,6983.9766
"North Korea",2022,6909.168
"North Korea",2020,8332.383
"North Korea",2015,4766.5405
"North Korea",2010,8815.287
"North Korea",2005,12027.47
"North Korea",2000,12859.471
"North Korea",1995,13966.649
"North Korea",1990,12123.009
"North Korea",1985,13664.387
"North Korea",1980,15082.92
"Syria",2023,3976.7585
"Syria",2022,4111.719
"Syria",2020,5342.43
"Syria",2015,6244.624
"Syria",2010,13154.189
"Syria",2005,14674.131
"Syria",2000,12708.573
"Syria",1995,11823.148
"Syria",1990,12599.213
"Syria",1985,9985.254
"Syria",1980,8429.496
"Sri Lanka",2024,4819.1953
"Sri Lanka",2023,4356.593
"Sri Lanka",2022,4265.6963
"Sri Lanka",2020,4653.0293
"Sri Lanka",2015,4201.5786
"Sri Lanka",2010,3334.2397
"Sri Lanka",2005,3056.2314
"Sri Lanka",2000,2775.4348
"Sri Lanka",1995,2319.4077
"Sri Lanka",1990,1827.6754
"Sri Lanka",1985,1653.0919
"Sri Lanka",1980,1549.9373
"Sri Lanka",1975,1444.7924
"Sri Lanka",1970,1608.4803
"Sri Lanka",1965,957.5753
"Taiwan",2024,54012.633
"Taiwan",2023,53882.113
"Taiwan",2022,56225.938
"Taiwan",2020,54479.203
"Taiwan",2015,56650.766
"Taiwan",2010,55741.184
"Taiwan",2005,52957.516
"Taiwan",2000,45722.125
"Taiwan",1995,36338
"Taiwan",1990,28367.777
"Taiwan",1985,20301.912
"Taiwan",1980,17398.014
"Taiwan",1975,10884.052
"Taiwan",1970,7267.8145
"Taiwan",1965,5360.663
"Kazakhstan",2024,41865.195
"Kazakhstan",2023,41624.883
"Kazakhstan",2022,40893.367
"Kazakhstan",2020,37774.996
"Kazakhstan",2015,35163.887
"Kazakhstan",2010,36301.137
"Kazakhstan",2005,31602.055
"Kazakhstan",2000,23852.965
"Kazakhstan",1995,35785.812
"Kazakhstan",1990,50100.41
"Kazakhstan",1985,49655.234
"Cambodia",2023,4590.6875
"Cambodia",2022,3826.666
"Cambodia",2020,3623.1885
"Cambodia",2015,2045.9786
"Cambodia",2010,1574.4983
"Cambodia",2005,890.31775
"Cambodia",2000,711.5704
"Cambodia",1995,604.91327
"Cambodia",1990,259.63687
"Cambodia",1985,291.18405
"Cambodia",1980,235.12926
"Jordan",2023,9644.626
"Jordan",2022,9883.87
"Jordan",2020,9092.539
"Jordan",2015,11395.704
"Jordan",2010,12214.337
"Jordan",2005,14255.92
"Jordan",2000,12299.419
"Jordan",1995,11803.904
"Jordan",1990,11628.393
"Jordan",1985,12823.284
"Jordan",1980,10208.667
"United Arab Emirates",2024,138026.48
"United Arab Emirates",2023,134679.92
"United Arab Emirates",2022,132096.89
"United Arab Emirates",2020,125363.31
"United Arab Emirates",2015,140994.88
"United Arab Emirates",2010,140161.36
"United Arab Emirates",2005,151045.81
"United Arab Emirates",2000,153361.73
"United Arab Emirates",1995,199152.9
"United Arab Emirates",1990,181724.3
"United Arab Emirates",1985,146332.03
"United Arab Emirates",1980,106483.45
"United Arab Emirates",1975,43950.293
"United Arab Emirates",1970,33521.168
"United Arab Emirates",1965,5113.2603
"Tajikistan",2023,4745.2627
"Tajikistan",2022,4824.7124
"Tajikistan",2020,4753.2974
"Tajikistan",2015,3965.9856
"Tajikistan",2010,3551.2854
"Tajikistan",2005,5358.0234
"Tajikistan",2000,5018.302
"Tajikistan",1995,5381.158
"Azerbaijan",2024,20137.387
"Azerbaijan",2023,21072.756
"Azerbaijan",2022,20425.451
"Azerbaijan",2020,18162.768
"Azerbaijan",2015,17618.03
"Azerbaijan",2010,14041.92
"Azerbaijan",2005,19405.906
"Azerbaijan",2000,16153.973
"Azerbaijan",1995,20811.258
"Azerbaijan",1990,36032.113
"Azerbaijan",1985,34552.445
"Israel",2024,29591.316
"Israel",2023,30723.857
"Israel",2022,33816.67
"Israel",2020,32400.352
"Israel",2015,34152.684
"Israel",2010,36127.625
"Israel",2005,36361.74
"Israel",2000,37205.684
"Israel",1995,36455.285
"Israel",1990,28412.639
"Israel",1985,23932.822
"Israel",1980,24875.012
"Israel",1975,22645.977
"Israel",1970,22179.049
"Israel",1965,17588.584
"Laos",2023,10100.14
"Laos",2022,8552.412
"Laos",2020,9094.3545
"Laos",2015,5482.171
"Laos",2010,2160.704
"Laos",2005,1243.3053
"Laos",2000,927.38556
"Laos",1995,368.38705
"Laos",1990,303.67258
"Laos",1985,253.74026
"Laos",1980,582.4142
"Turkmenistan",2024,49524.95
"Turkmenistan",2023,59537.51
"Turkmenistan",2022,65250.055
"Turkmenistan",2020,63923.27
"Turkmenistan",2015,51843.594
"Turkmenistan",2010,44347.527
"Turkmenistan",2005,34686
"Turkmenistan",2000,28428.357
"Turkmenistan",1995,24878.238
"Turkmenistan",1990,42814.887
"Turkmenistan",1985,44065.363
"Kyrgyzstan",2023,8082.865
"Kyrgyzstan",2022,7569.569
"Kyrgyzstan",2020,6303.2896
"Kyrgyzstan",2015,7766.9336
"Kyrgyzstan",2010,7097.546
"Kyrgyzstan",2005,6315.1167
"Kyrgyzstan",2000,8554.152
"Kyrgyzstan",1995,6863.0107
"Hong Kong",2024,36808.547
"Hong Kong",2023,33757.816
"Hong Kong",2022,29120.252
"Hong Kong",2020,34437.715
"Hong Kong",2015,44316.176
"Hong Kong",2010,45225.73
"Hong Kong",2005,39095.48
"Hong Kong",2000,29453.422
"Hong Kong",1995,29250.05
"Hong Kong",1990,25061.643
"Hong Kong",1985,18684.584
"Hong Kong",1980,15394.662
"Hong Kong",1975,12420.538
"Hong Kong",1970,12294.843
"Hong Kong",1965,6822.079
"Singapore",2024,180701.45
"Singapore",2023,171241.08
"Singapore",2022,158521.72
"Singapore",2020,162517.11
"Singapore",2015,164988.62
"Singapore",2010,156003.53
"Singapore",2005,127051.62
"Singapore",2000,109786.09
"Singapore",1995,110068.55
"Singapore",1990,89848.74
"Singapore",1985,51880.066
"Singapore",1980,45772.86
"Singapore",1975,37903.793
"Singapore",1970,41693.78
"Singapore",1965,25597.227
"Lebanon",2023,12632.702
"Lebanon",2022,12473.167
"Lebanon",2020,17183.104
"Lebanon",2015,15547.409
"Lebanon",2010,15401.946
"Lebanon",2005,12968.104
"Lebanon",2000,13793.698
"Lebanon",1995,13113.397
"Lebanon",1990,5638.822
"Lebanon",1985,9352.805
"Lebanon",1980,9695.02
"Oman",2024,84610.64
"Oman",2023,86222.51
"Oman",2022,89754.836
"Oman",2020,79945.42
"Oman",2015,80629.07
"Oman",2010,85979.016
"Oman",2005,63469.54
"Oman",2000,48620.9
"Oman",1995,30118.717
"Oman",1990,26429.148
"Oman",1985,24838.732
"Oman",1980,17037.115
"Oman",1975,16568.465
"Oman",1970,1412.2805
"Oman",1965,166.39279
"Kuwait",2024,106398.59
"Kuwait",2023,103089.836
"Kuwait",2022,102111.33
"Kuwait",2020,95378.4
"Kuwait",2015,122225.26
"Kuwait",2010,137603.58
"Kuwait",2005,152611.67
"Kuwait",2000,111608.15
"Kuwait",1995,89532.055
"Kuwait",1990,54303.703
"Kuwait",1985,63642.477
"Kuwait",1980,56302.95
"Kuwait",1975,62457.023
"Kuwait",1970,90725.36
"Kuwait",1965,152004.22
"Georgia",2023,16434.389
"Georgia",2022,17845.229
"Georgia",2020,14982.388
"Georgia",2015,14169.743
"Georgia",2010,10140.076
"Georgia",2005,8406.679
"Georgia",2000,6619.5894
"Georgia",1995,6870.065
"Mongolia",2023,19674.547
"Mongolia",2022,15471.304
"Mongolia",2020,18992.549
"Mongolia",2015,15730.632
"Mongolia",2010,12244.189
"Mongolia",2005,7940.0825
"Mongolia",2000,6921.8765
"Mongolia",1995,8032.041
"Mongolia",1990,11231.988
"Mongolia",1985,12268.706
"Mongolia",1980,10923.312
"Qatar",2024,214520.3
"Qatar",2023,208038.81
"Qatar",2022,195336.34
"Qatar",2020,183122.62
"Qatar",2015,245295.05
"Qatar",2010,196225.34
"Qatar",2005,270980.62
"Qatar",2000,209063.48
"Qatar",1995,303592.56
"Qatar",1990,179101.61
"Qatar",1985,180653.12
"Qatar",1980,193422.83
"Qatar",1975,121413.695
"Qatar",1970,99043.47
"Qatar",1965,22019.96
"Armenia",2023,16027.844
"Armenia",2022,17722.293
"Armenia",2020,15475.302
"Armenia",2015,12623.133
"Armenia",2010,11824.311
"Armenia",2005,11044.274
"Armenia",2000,8587.992
"Armenia",1995,10491.935
"Bahrain",2023,164932.52
"Bahrain",2022,161782.95
"Bahrain",2020,152081.19
"Bahrain",2015,148644.03
"Bahrain",2010,141961.7
"Bahrain",2005,160842.31
"Bahrain",2000,167083.14
"Bahrain",1995,140103.28
"Bahrain",1990,145869.83
"Bahrain",1985,138919.61
"Bahrain",1980,111908.305
"Cyprus",2024,24551.195
"Cyprus",2023,23877.7
"Cyprus",2022,23790.744
"Cyprus",2020,21717.27
"Cyprus",2015,23931.43
"Cyprus",2010,30196.178
"Cyprus",2005,33771.734
"Cyprus",2000,31932.213
"Cyprus",1995,29246.24
"Cyprus",1990,24449.057
"Cyprus",1985,18549.932
"Cyprus",1980,15047.482
"Cyprus",1975,12936.193
"Cyprus",1970,12363.76
"Cyprus",1965,7576.371
"Bhutan",2023,18780.541
"Bhutan",2022,20151.467
"Bhutan",2020,11798.361
"Bhutan",2015,6218.035
"Bhutan",2010,5194.307
"Bhutan",2005,3502.8477
"Bhutan",2000,2358.4924
"Bhutan",1995,1738.5422
"Bhutan",1990,973.5356
"Bhutan",1985,289.80206
"Bhutan",1980,62.999752
"Macao",2023,18944.184
"Macao",2022,17662.996
"Macao",2020,18908.174
"Macao",2015,20828.768
"Macao",2010,19226.94
"Macao",2005,20307.605
"Macao",2000,15780.08
"Macao",1995,13864.266
"Macao",1990,12730.14
"Macao",1985,9026.548
"Macao",1980,8211.828
"Maldives",2023,14912.831
"Maldives",2022,14143.395
"Maldives",2020,10117.3125
"Maldives",2015,15375.3955
"Maldives",2010,12540.963
"Maldives",2005,9640.38
"Maldives",2000,10147.516
"Maldives",1995,5303.287
"Maldives",1990,1877.1293
"Maldives",1985,1298.2433
"Maldives",1980,375.47458
"Brunei",2023,118211.914
"Brunei",2022,117670.914
"Brunei",2020,130865.55
"Brunei",2015,115953.25
"Brunei",2010,108127.87
"Brunei",2005,94131.76
"Brunei",2000,60239.23
"Brunei",1995,62311.766
"Brunei",1990,80499.37
"Brunei",1985,103014.47
"Brunei",1980,129630.03
